game_id,label,source_class,source_username,engine_move_count,critical_positions_count,error_moves_count,time_complexity_corr,critical_time_lift,cpl_mean,cpl_median,cpl_std,post_error_time_ratio
0RzqMczL,1,bot,maia9,80,16,10,0.042883663415912744,1.0410516605166051,39.1125,17.5,48.00312327078312,2.5675
1Cw9ORZG,1,bot,maia1,38,8,7,0.2980958851352842,1.2694954128440366,61.166666666666664,22.0,87.75201802048011,1.9285714285714284
1Ow2TTvu,0,human,,38,8,4,-0.03134283849571531,0.5783898305084746,46.13157894736842,23.5,52.35917003716359,1.549079754601227
1l8gol7G,1,bot,Boris-Trapsky,48,11,11,0.10135909995243815,1.1550435865504358,64.46666666666667,9.0,108.39015945493699,0.8864915572232646
2QGJsvYU,1,bot,maia5,72,14,8,-0.019850095442891458,0.8675595238095238,34.71212121212121,14.0,54.10757106926544,3.6743295019157087
3YP5ygrm,1,bot,simpleEval,85,16,4,0.03476568197321842,0.9421487603305785,18.71764705882353,1.0,42.22199364554976,2.1617647058823533
3nZBcFcx,0,human,,64,14,7,0.4390665005234807,2.717770034843206,56.296875,16.5,131.49782313876673,2.2474048442906573
4U9hQkO5,0,human,,66,13,6,-0.019634431760999438,0.8908979466748391,39.29032258064516,10.0,75.43366816908964,1.213299418604651
4XdOH7vq,0,human,,100,20,15,0.01249543334251399,0.7932203389830509,44.33673469387755,13.0,71.95363357924424,1.7437316834907195
4f8UxP39,0,human,,99,20,14,0.01573953885524957,1.0173575129533678,48.24242424242424,32.0,57.88565721571075,2.9006211180124226
4mvvdAHi,1,bot,Boris-Trapsky,75,15,2,-0.14398362293530617,0.8348484848484848,19.706666666666667,6.0,36.35556750882716,0.6353591160220994
4oprdF2Y,1,bot,maia5,44,9,3,0.1577067657529574,1.3522458628841607,24.9,6.0,36.83870247443577,2.0695807314897414
5YkH7xvt,0,human,,48,10,4,0.1619890221967382,1.461744966442953,34.0625,7.5,77.0228338032517,4.02051282051282
5glLVBCA,1,bot,OpeningsBot,28,6,0,0.1837103323034721,1.2698412698412698,20.035714285714285,5.0,56.039834137906595,
5hjxOnS8,1,bot,OpeningsBot,127,25,4,-0.13326603857384373,0.8301823281907433,19.142857142857142,5.0,31.72605580665234,0.647071217867678
7VmqNIj4,1,bot,maia5,34,7,7,0.03706254948663605,1.1774891774891774,61.14705882352941,34.5,101.96283416114427,
