game_id,label,source_class,source_username,engine_move_count,critical_positions_count,error_moves_count,time_complexity_corr,critical_time_lift,cpl_mean,cpl_median,cpl_std,post_error_time_ratio
0S9GsP7n,0,human,,37,7,3,0.13038219169251516,0.7941888619854721,39.72727272727273,23.0,54.512313164104285,0.688348271446863
0ftDtCCq,1,bot,OpeningsBot,138,27,7,-0.16159501869589382,0.8878394332939787,26.568181818181817,10.5,40.056814420803605,0.309647150816147
1Cw9ORZG,1,bot,maia1,38,7,9,0.36470547999826003,1.0420168067226891,66.88888888888889,33.0,99.62172280341767,1.9285714285714284
1Ow2TTvu,0,human,,38,8,4,0.12300105713362966,0.7214912280701755,43.0,36.0,50.030517002914806,1.549079754601227
2jwOoNBQ,0,human,,60,12,8,0.06864887718883829,1.459667852906287,54.17857142857143,4.5,116.41997667663293,3.181621621621622
2kRb4DGs,1,bot,Lynx_BOT,134,26,1,0.25501778713657935,1.3565046851165832,15.216666666666667,3.0,23.17979843647385,0.42456038084134856
34R8eZyg,1,bot,simpleEval,64,13,6,0.13997537124334974,1.0341222879684417,32.1875,14.0,43.334049473249095,1.6923076923076925
36zpHbJs,1,bot,simpleEval,28,6,1,-0.08503493862760259,0.5894308943089431,17.25,3.5,26.94123896822225,0.6644518272425249
3EW9qmT4,0,human,,117,23,15,0.051471574667216184,1.0827586206896553,44.32432432432432,24.0,57.87158230909085,3.1366336633663363
3FJi92po,0,human,,160,30,13,0.09516628032659409,1.3740932642487047,34.809859154929576,4.5,85.4298932655335,3.9434343434343435
3KmunfcB,0,human,,43,8,7,-0.36005942791707346,0.5945121951219513,47.16279069767442,7.0,94.58352534469526,2.0238095238095237
3NTlQsUb,0,human,,218,41,26,0.05140220050155834,1.1441645563996623,60.651898734177216,22.0,110.78254027856566,1.702739726027397
3YP5ygrm,1,bot,simpleEval,85,16,5,-0.021549782892890914,0.8716904276985743,24.223529411764705,0.0,56.4376546122488,1.145350172215844
3YzizUdI,1,bot,simpleEval,51,10,1,-0.13234344493946185,0.5545023696682464,34.05882352941177,15.0,99.68133771580312,0.6187122736418511
3nZBcFcx,0,human,,64,13,7,0.38875614534029496,2.047849788007268,54.0,13.5,129.02228489683478,3.6348837209302323
3p4Y148b,1,bot,maia1,122,25,19,0.14923381224985932,1.2463492063492065,49.09,9.5,84.87156119690506,2.1954545454545453
3ukev9AE,1,bot,maia5,64,13,17,-0.03658804197679094,0.7917105725324903,83.6774193548387,42.0,108.51858383936624,3.5091145833333335
4BldYeqX,1,bot,OpeningsBot,27,5,2,0.5810315434434552,6.051282051282052,35.629629629629626,15.0,45.16730065003856,1.3564993564993566
4U9hQkO5,0,human,,66,13,9,-0.04024499141101313,0.9005066789497927,45.854838709677416,25.5,59.84869275910699,2.333646322378717
4UfNLuFZ,1,bot,maia1,64,13,12,0.09245191063170392,1.2564102564102566,70.37096774193549,24.5,164.81164555930718,4.608187134502924
4XdOH7vq,0,human,,100,20,13,-0.06410476416671516,0.8878962536023055,42.48979591836735,12.0,77.9068314441849,1.7437316834907195
4f8UxP39,0,human,,99,20,11,0.0024350826269458714,1.200537634408602,41.76767676767677,20.0,61.12164196767634,2.9006211180124226
4mvvdAHi,1,bot,Boris-Trapsky,75,15,2,-0.1345221523914701,0.8888888888888888,21.653333333333332,11.0,32.21365893875178,0.6353591160220994
5YkH7xvt,0,human,,48,10,4,0.20197925211378034,1.428,35.125,3.5,87.62054196933502,4.02051282051282
5glLVBCA,1,bot,OpeningsBot,28,6,0,0.3231365400448072,1.5,24.178571428571427,7.0,63.224121510831026,
5hjxOnS8,1,bot,OpeningsBot,127,25,4,-0.025601502095607364,0.8102793296089386,18.403361344537814,5.0,35.726157196500914,0.5948676500303091
5nMnSytK,1,bot,maia5,89,17,11,0.023159157428383467,1.1497005988023954,64.79220779220779,21.0,126.91037206108922,0.7063398015108873
62dD14f2,1,bot,Boris-Trapsky,23,5,3,0.3765908429758251,1.5,42.523809523809526,2.0,84.4932339064124,1.283116883116883
6H0lPmeP,1,bot,simpleEval,101,20,6,0.028524326165713872,0.8626993865030675,34.483870967741936,28.0,38.309888923314354,1.2680034873583261
6kf8qYi9,1,bot,maia1,36,7,8,-0.0023703052655160506,0.9756302521008403,71.375,48.5,68.00264241189456,
7Czq5JCM,0,human,,44,9,5,0.155148677107518,1.1020599250936332,32.27272727272727,10.0,48.38874946080096,1.087456846950518
