game_id,label,source_class,source_username,early_move_count,middle_move_count,late_move_count,early_avg_time,middle_avg_time,late_avg_time,early_cpl_mean,middle_cpl_mean,late_cpl_mean,early_cpl_std,middle_cpl_std,late_cpl_std,time_early_to_middle_diff,time_middle_to_late_diff,cpl_early_to_middle_diff,cpl_middle_to_late_diff
0RzqMczL,1,bot,maia9,26,27,27,3.3846153846153846,5.518518518518518,4.36,45.84615384615385,47.888888888888886,23.85185185185185,51.58241524134148,56.41994218840719,26.99204780521094,2.1339031339031336,-1.1585185185185178,2.042735042735039,-24.037037037037035
1Cw9ORZG,1,bot,maia1,12,13,13,2.4166666666666665,4.923076923076923,5.363636363636363,28.833333333333332,53.07692307692308,106.0,38.27060084306084,83.03332189174836,110.5786433432621,2.506410256410257,0.44055944055943996,24.243589743589748,52.92307692307692
1Ow2TTvu,0,human,,12,13,13,2.4166666666666665,10.307692307692308,10.181818181818182,23.833333333333332,32.76923076923077,80.07692307692308,18.329545063154793,26.764367374304694,72.09231425851114,7.891025641025642,-0.12587412587412672,8.935897435897434,47.307692307692314
1l8gol7G,1,bot,Boris-Trapsky,16,16,16,4.3125,5.625,2.857142857142857,11.3125,76.8125,114.6923076923077,16.765734214462544,96.91311750093483,150.24819702764879,1.3125,-2.767857142857143,65.5,37.87980769230769
2QGJsvYU,1,bot,maia5,24,24,24,2.9166666666666665,4.333333333333333,5.818181818181818,16.166666666666668,34.916666666666664,59.166666666666664,25.208574379012834,40.08731788927211,81.78036303280744,1.4166666666666665,1.4848484848484853,18.749999999999996,24.25
3YP5ygrm,1,bot,simpleEval,28,28,29,6.107142857142857,9.964285714285714,8.962962962962964,16.535714285714285,38.642857142857146,1.5862068965517242,29.232421021453394,61.864606939967985,4.838902991804069,3.8571428571428568,-1.0013227513227498,22.10714285714286,-37.05665024630542
3nZBcFcx,0,human,,21,21,22,4.0476190476190474,8.761904761904763,15.95,13.238095238095237,58.285714285714285,95.5,22.131435866539235,68.74115898626899,204.9744440833362,4.714285714285715,7.1880952380952365,45.04761904761905,37.214285714285715
4U9hQkO5,0,human,,22,22,22,10.272727272727273,9.363636363636363,9.2,24.272727272727273,33.5,64.72222222222223,36.36079534356377,59.80023563346705,112.4706408878708,-0.9090909090909101,-0.16363636363636402,9.227272727272727,31.22222222222223
4XdOH7vq,0,human,,33,33,34,6.96969696969697,8.818181818181818,10.34375,14.121212121212121,47.63636363636363,72.09375,21.225709933171277,64.88349380693862,96.57295149749488,1.8484848484848486,1.5255681818181817,33.515151515151516,24.457386363636367
4f8UxP39,0,human,,33,33,33,5.484848484848484,5.757575757575758,3.774193548387097,50.09090909090909,44.484848484848484,50.15151515151515,50.026274088458294,43.36464221775631,75.15282256927253,0.2727272727272734,-1.9833822091886608,-5.606060606060609,5.666666666666664
