game_id,label,source_class,source_username,white_cpl_mean,black_cpl_mean,wb_cpl_mean_diff,white_best_move_ratio,black_best_move_ratio,wb_best_move_ratio_diff,white_time_complexity_corr,black_time_complexity_corr,wb_time_complexity_corr_diff,white_critical_time_lift,black_critical_time_lift,wb_critical_time_lift_diff
0S9GsP7n,0,human,,22.235294117647058,58.3125,-36.07720588235294,0.5294117647058824,0.1875,0.34191176470588236,0.046491089784755475,0.024911161502256893,0.021579928282498582,0.8986742424242424,1.2285714285714286,-0.3298971861471862
0ftDtCCq,1,bot,OpeningsBot,36.515151515151516,16.62121212121212,19.893939393939394,0.3939393939393939,0.6212121212121212,-0.2272727272727273,-0.3406041990715435,-0.07975810808776553,-0.260846090983778,0.5317131001778305,1.4857142857142858,-0.9540011855364553
1Cw9ORZG,1,bot,maia1,100.83333333333333,32.94444444444444,67.88888888888889,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.2927889491263501,0.5036355198095273,-0.21084657068317714,1.0291666666666668,1.47,-0.4408333333333332
1Ow2TTvu,0,human,,50.526315789473685,35.473684210526315,15.05263157894737,0.15789473684210525,0.3684210526315789,-0.21052631578947367,0.21086816288891744,0.016528587216425028,0.1943395756724924,0.6363636363636365,0.8241758241758242,-0.18781218781218778
2jwOoNBQ,0,human,,66.75,41.607142857142854,25.142857142857146,0.5,0.4642857142857143,0.0357142857142857,0.250807189429931,0.06821797297194979,0.18258921645798123,1.531135531135531,1.1771929824561402,0.3539425486793908
2kRb4DGs,1,bot,Lynx_BOT,18.966666666666665,11.466666666666667,7.499999999999998,0.4666666666666667,0.5,-0.033333333333333326,-0.00018028137926971973,0.3881051876841454,-0.38828546906341516,0.8967105263157894,1.8909090909090909,-0.9941985645933015
34R8eZyg,1,bot,simpleEval,39.53125,24.84375,14.6875,0.5,0.375,0.125,0.23345994078105378,0.06006044096463878,0.173399499816415,2.0939597315436242,0.5766233766233766,1.5173363549202477
36zpHbJs,1,bot,simpleEval,17.5,17.0,0.5,0.35714285714285715,0.2857142857142857,0.07142857142857145,-0.2277381701610681,0.24294049334365886,-0.470678663504727,0.8340163934426229,1.0625,-0.2284836065573771
3EW9qmT4,0,human,,41.464285714285715,47.236363636363635,-5.772077922077919,0.44642857142857145,0.45454545454545453,-0.008116883116883078,0.16234343339645468,-0.14152108082952403,0.3038645142259787,1.3609406952965235,0.5925925925925927,0.7683481027039308
3FJi92po,0,human,,38.56944444444444,30.942857142857143,7.6265873015873,0.4027777777777778,0.34285714285714286,0.05992063492063493,0.0022616521786313457,0.134961741580367,-0.13270008940173567,1.0017906884202148,1.8104956268221575,-0.8087049384019427
